,asset_a,asset_b,pvalue,beta
2,CDW,HAS,0.0,1.2459409771157401
45,CTSH,IT,0.0,0.9697095704523527
62,AMCR,ARES,0.0,0.815267490533415
56,AMCR,APO,0.0,0.7707430702871779
67,AMCR,IT,0.0,0.8181234469561717
82,HAS,CRH,0.0,0.7343840069826427
81,HAS,CBRE,0.0,0.6944774372119303
88,HAS,IT,0.0,0.7794588725415822
243,BLK,IT,0.0,1.150782783432737
238,BLK,ARES,0.0,1.232187174805805
92,NKE,EL,0.0,1.0413494875313116
136,STZ,ECL,0.0,0.7273468639800336
116,APH,APO,0.0,1.1407539140001208
108,NKE,IT,0.0,0.9447947949658646
231,APO,MSI,0.0,0.9315316146563499
111,APH,EL,0.0,1.3075813432498884
205,GRMN,ACN,0.0,0.8239885723717572
207,GRMN,IT,0.0,0.9504526981415304
151,EL,APO,0.0,0.8389175548698286
145,STZ,IT,0.0,0.7864616621774655
121,APH,CRH,0.0,1.101807815384678
181,WY,HPQ,0.0,1.0513410909305883
294,ACN,MSI,0.0,1.1520202155609482
289,KKR,TEL,0.0,0.8553195953191596
28,CTSH,STZ,0.0,1.04454619671822
24,CTSH,AMCR,0.0,1.0328498156347814
270,CBRE,IT,0.0,1.0830784026131808
271,CBRE,TEL,0.0,0.8614242136958273
163,EL,TEL,0.0,0.701434714899857
159,EL,CSX,0.0,0.777498492906788
188,WY,ARES,0.0,1.08472743937244
77,HAS,APO,1.3613933347820536e-29,0.7508611339811262
85,HAS,CSX,1.6762375178497367e-29,0.71720548421318
190,WY,CSX,1.7798190349768174e-29,1.0070279287246473
206,GRMN,MSI,1.8461948890212635e-29,0.9523592157938229
157,EL,ARES,2.0679493801733032e-29,0.9297540282499295
19,CDW,CSX,2.1402256065740218e-29,0.9488404142337373
0,CDW,CTSH,2.7141667410343196e-29,1.0574951341775267
149,EL,GRMN,2.8357522454636544e-29,0.8879028848816249
124,APH,CSX,2.982439399741522e-29,1.1112395370041812
40,CTSH,ARES,6.09780753808677e-29,1.0171882629627857
135,STZ,BLK,7.072712495426162e-29,0.6236783709150113
1,CDW,AMCR,1.4393383033721237e-27,1.0985506600766304
8,CDW,WY,1.704241858298211e-27,0.8500085772913843
39,CTSH,CRH,2.0540361202998117e-27,0.8555174863754516
