asset_a,asset_b,pvalue,beta
CDW,HAS,0.0,1.2459409771157401
CDW,LIN,0.0,0.9433561861931216
CTSH,CSX,0.0,0.8743854840427568
CTSH,ACN,0.0,0.8329028471277466
CTSH,MSI,0.0,0.9771003260898763
CTSH,IT,0.0,0.9697095704523527
HAS,EL,0.0,0.8751803138911006
BLK,PAYX,0.0,0.9956993526465144
AMCR,ACN,0.0,0.6568459294813648
AMCR,MSI,0.0,0.8040321752864279
AMCR,ARES,0.0,0.815267490533415
AMCR,BLK,0.0,0.6696836006757426
AMCR,APO,0.0,0.7707430702871779
AMCR,EL,0.0,0.8711802167815745
AMCR,STZ,0.0,0.967100517522521
AMCR,APH,0.0,0.6509329713046856
AMCR,IT,0.0,0.8181234469561717
HAS,STZ,0.0,0.8541218041768703
HAS,CRH,0.0,0.7343840069826427
HAS,CBRE,0.0,0.6944774372119303
HAS,KKR,0.0,0.6857460299499424
NKE,HPQ,0.0,0.9076653120121554
HAS,TEL,0.0,0.6399945337717616
HAS,IT,0.0,0.7794588725415822
NKE,APO,0.0,0.8758829239384556
ECL,ACN,0.0,0.9120110646741393
CBRE,CRH,0.0,1.019863796315133
ECL,MSI,0.0,1.1004711623568644
BLK,IT,0.0,1.150782783432737
BLK,ACN,0.0,0.9907542257597279
BLK,CSX,0.0,1.085696561393248
BLK,ARES,0.0,1.232187174805805
NKE,EL,0.0,1.0413494875313116
HAS,HPQ,0.0,0.7910404531605308
HAS,ECL,0.0,0.676627808754841
APH,ACN,0.0,1.0027008618864528
STZ,LIN,0.0,0.7255819186124632
STZ,ECL,0.0,0.7273468639800336
APH,IT,0.0,1.193223731350924
APH,APO,0.0,1.1407539140001208
APO,TEL,0.0,0.7815638031085428
NKE,IT,0.0,0.9447947949658646
APO,IT,0.0,0.9858181520194909
APO,MSI,0.0,0.9315316146563499
APH,STZ,0.0,1.2133029436904181
NKE,TEL,0.0,0.7430455592620456
APH,LIN,0.0,1.099593042251596
APH,EL,0.0,1.3075813432498884
APO,ECL,0.0,0.8198343723393618
APO,PAYX,0.0,0.8019365753992249
APO,ACN,0.0,0.8150689035822926
APO,CSX,0.0,0.8951406988314312
HPQ,CRH,0.0,0.9027723327014837
HPQ,TEL,0.0,0.7999450710999721
HPQ,KKR,0.0,0.8294548371756026
HPQ,IT,0.0,0.9294671059287796
GRMN,ACN,0.0,0.8239885723717572
GRMN,IT,0.0,0.9504526981415304
HPQ,APO,0.0,0.9132511704803496
GRMN,CSX,0.0,0.9060501830672432
NKE,CSX,0.0,0.8395616863633656
GRMN,ARES,0.0,1.0180471864870715
NKE,CRH,0.0,0.8460458247238316
NKE,KKR,0.0,0.8227406641020749
EL,PAYX,0.0,0.7454071697420472
EL,LIN,0.0,0.7751274681232211
EL,ECL,0.0,0.7595364219799696
EL,APO,0.0,0.8389175548698286
STZ,ACN,0.0,0.6499547971355315
EL,HPQ,0.0,0.8542325349566012
STZ,IT,0.0,0.7864616621774655
APH,ECL,0.0,1.0226560282637043
APH,CRH,0.0,1.101807815384678
APH,ARES,0.0,1.2470236851213035
CRH,ARES,0.0,1.027018817370654
GRMN,ECL,0.0,0.8437648000414494
GRMN,APO,0.0,0.9146454935980632
WY,IT,0.0,1.0463202675393055
WY,MSI,0.0,1.0050964449100614
WY,ACN,0.0,0.8483581770923339
LIN,ACN,0.0,0.8775904565703204
LIN,MSI,0.0,1.0632506470689356
WY,HPQ,0.0,1.0513410909305883
WY,APO,0.0,1.0206979367613198
WY,CBRE,0.0,0.9691950851792375
WY,CRH,0.0,1.0013665983185902
CSX,IT,0.0,0.9786693859561787
ACN,MSI,0.0,1.1520202155609482
ARES,MSI,0.0,0.8906724274585799
KKR,CSX,0.0,0.9521363504471088
KKR,IT,0.0,1.091901335658328
KKR,TEL,0.0,0.8553195953191596
CSX,ACN,0.0,0.8111671253052704
CSX,MSI,0.0,0.9741515619754891
CRH,KKR,0.0,0.8873737569621027
CRH,IT,0.0,1.0380196637786667
CTSH,LIN,0.0,0.8818766937372711
CTSH,STZ,0.0,1.04454619671822
CTSH,AMCR,0.0,1.0328498156347814
CTSH,GRMN,0.0,0.9681532774195319
CDW,IT,0.0,1.0610229501232724
ARES,CSX,0.0,0.8211580164575975
ARES,ACN,0.0,0.7865045902118164
CBRE,KKR,0.0,0.953266583532525
CBRE,IT,0.0,1.0830784026131808
CBRE,TEL,0.0,0.8614242136958273
EL,TEL,0.0,0.701434714899857
EL,IT,0.0,0.8817226522431604
EL,ACN,0.0,0.7535788221510642
EL,MSI,0.0,0.8608386401162221
EL,CSX,0.0,0.777498492906788
EL,CRH,0.0,0.7818575130091281
LIN,ECL,0.0,0.9250376038489758
LIN,PAYX,0.0,0.900430640797466
WY,ARES,0.0,1.08472743937244
WY,KKR,0.0,0.9101968113153444
CTSH,BLK,1.3389268374284215e-29,0.801302274550986
APH,MSI,1.346441420551916e-29,1.1687151226386978
HAS,APO,1.3613933347820536e-29,0.7508611339811262
IT,TEL,1.4337377701416835e-29,0.7361288400457178
HAS,CSX,1.6762375178497367e-29,0.71720548421318
BLK,ECL,1.747983181337384e-29,1.0105827623422834
WY,CSX,1.7798190349768174e-29,1.0070279287246473
GRMN,MSI,1.8461948890212635e-29,0.9523592157938229
CDW,APH,1.8821761741756272e-29,0.8529485771236531
EL,ARES,2.0679493801733032e-29,0.9297540282499295
CDW,CSX,2.1402256065740218e-29,0.9488404142337373
CTSH,WY,2.6147893816687754e-29,0.7988090349083402
CDW,CTSH,2.7141667410343196e-29,1.0574951341775267
EL,GRMN,2.8357522454636544e-29,0.8879028848816249
APH,CSX,2.982439399741522e-29,1.1112395370041812
CDW,APO,3.5062753379021316e-29,1.005493402959272
CTSH,ARES,6.09780753808677e-29,1.0171882629627857
STZ,BLK,7.072712495426162e-29,0.6236783709150113
STZ,CSX,1.0063075316439808e-28,0.7427708700489473
APO,CRH,1.0475821830029058e-28,0.8999992653789611
LIN,BLK,1.0482587746957143e-28,0.8658923964094059
EL,WY,1.166323386708772e-28,0.7328361936107225
GRMN,PAYX,1.437461473672647e-28,0.8244120394733669
AMCR,NKE,1.8152333885360547e-28,0.8272569692732405
HAS,WY,1.9081108309581103e-28,0.6882996010773377
LIN,GRMN,2.5700457118292363e-28,1.042500514413987
STZ,GRMN,9.607525564065468e-28,0.7586542065224375
CDW,CRH,1.1291403458900057e-27,0.9552937759364305
CDW,AMCR,1.4393383033721237e-27,1.0985506600766304
CDW,WY,1.704241858298211e-27,0.8500085772913843
CRH,TEL,1.930127329047704e-27,0.8458344973327883
CTSH,CRH,2.0540361202998117e-27,0.8555174863754516
LIN,CSX,2.2903087905621047e-27,1.0010783737740703
CTSH,APO,3.493610283920471e-27,0.9292083564540143
CTSH,KKR,4.57164615032589e-27,0.8360167740572277
CDW,EL,5.495984682195734e-27,1.1458955815708156
EL,CBRE,5.949109029193433e-27,0.7407792305688236
APO,ARES,6.457142788289836e-27,1.0571867610255479
ECL,ARES,7.414996580892172e-27,1.0960523116587355
LIN,WY,9.741676853287569e-27,0.8272518624163371
CDW,CBRE,1.0310995774476963e-26,0.8698713301485164
CDW,KKR,1.1025204371879827e-26,0.9185518803750785
ECL,KKR,1.2872752620726281e-26,0.8886132288137181
PAYX,ARES,1.9064837330449574e-26,1.1360627007902577
APH,WY,1.9266901772854705e-26,0.9733046012256014
STZ,APO,2.8291372460544185e-26,0.7310255189521793
NKE,ECL,2.996386370209396e-26,0.8027083374404183
CDW,STZ,3.2913252176339526e-26,1.0885788741165303
STZ,ARES,3.299577890807878e-26,0.7721074068069458
CTSH,EL,3.6842871892105684e-26,1.0716742357056448
APH,KKR,4.2062017352330694e-26,1.0413067395598097
APH,CBRE,4.282082345800597e-26,0.9893044852100309
AMCR,KKR,4.460252187235034e-26,0.6760526156045215
STZ,CBRE,4.616114743523547e-26,0.6933372417883631
NKE,CBRE,5.0959002196572e-26,0.7796341805620481
STZ,CRH,6.853747730851969e-26,0.7184201447012946
NKE,WY,7.455937862843468e-26,0.7702677486325434
PAYX,IT,1.1507543230068713e-25,1.083152077404595
STZ,KKR,1.4420551344869001e-25,0.6296751398065887
AMCR,CBRE,2.3923079748460945e-25,0.7399287530228663
GRMN,BLK,2.625364792257795e-25,0.8135220184830678
LIN,KKR,3.4551313947810695e-25,0.857667044671091
AMCR,HAS,3.596049536381133e-25,1.0142535961787718
BLK,CRH,4.535227546453247e-25,1.0376033117802776
STZ,EL,5.527460973822204e-25,0.8476735991039732
AMCR,CRH,7.492659377942905e-25,0.7888604233823502
LIN,ARES,8.326904907491553e-25,1.0532560697421949
NKE,STZ,1.0640714460091308e-24,0.9491841309360607
GRMN,KKR,1.2626997537387288e-24,0.8377757752599967
NKE,APH,1.7970452146980934e-24,0.7519291472074089
CSX,TEL,1.931532474611061e-24,0.80096996313019
PAYX,CRH,1.985769856023887e-24,0.9345626461058009
PAYX,KKR,2.396210296827694e-24,0.9011065947077539
PAYX,TEL,3.074940023961139e-24,0.8069257550918967
MSI,TEL,4.270275080766942e-24,0.7124538685443345
CTSH,APH,4.8825048942453705e-24,0.7826966402069758
APH,TEL,6.422640436665464e-24,0.9915083560810627
EL,BLK,8.461134123023604e-24,0.7238522327137528
CDW,ECL,9.482116451385235e-24,0.8875773478872748
