Date,spread,regime,z_score,gmm_signal,minhash_signal,final_signal,model_signal
2016-07-06,-0.0445214499702469,1,-0.1560157724024874,0,0.0,0,0.0
2016-07-07,0.1279877289247496,1,0.4545306135759555,0,0.0,0,0.0
2016-07-08,-0.149953564836915,1,-0.5291622745784087,0,0.0,0,0.0
2016-07-11,-0.0078317011768714,1,-0.0261630093684267,0,0.0,0,0.0
2016-07-12,0.3387704346653977,2,1.2005350873149634,0,0.0,0,-1.0
2016-07-13,-0.2308367201541647,1,-0.815424828732344,0,0.0,0,0.0
2016-07-14,0.1328572513270319,1,0.4717648808955176,0,0.0,0,0.0
2016-07-15,-0.2019008241573082,1,-0.7130145869174305,0,0.0,0,0.0
2016-07-18,0.0402150936528333,1,0.1438847360850461,0,0.0,0,0.0
2016-07-19,0.1172084717680143,1,0.4163805479230266,0,0.0,0,0.0
2016-07-20,-0.0774420823955932,1,-0.272528837273396,0,0.0,0,0.0
2016-07-21,0.0201017325124117,1,0.0726993068063038,0,0.0,0,0.0
2016-07-22,-0.0383189550904131,1,-0.1340638342088835,0,0.0,0,0.0
2016-07-25,-0.0269701102158015,1,-0.0938978774313508,0,0.0,0,0.0
2016-07-26,-0.2891903288832341,1,-1.021950563458723,1,0.1573976368122464,1,1.0
2016-07-27,0.1824544120777064,1,0.6472996984923713,0,0.0,0,0.0
2016-07-28,0.0032534877464935,1,0.013069813362521,0,0.0,0,0.0
2016-07-29,0.2795401347455104,2,0.9909065574700782,0,0.0,0,0.0
2016-08-01,-0.0714430290783934,1,-0.2512969216989919,0,0.0,0,0.0
2016-08-02,0.0452002318588045,1,0.1615281921304277,0,0.0,0,0.0
2016-08-03,0.3040017277298693,2,1.0774812967827414,0,0.0,0,-1.0
2016-08-04,-0.1229189235166371,1,-0.4334809742554502,0,0.0,0,0.0
2016-08-05,0.3735654527739855,2,1.3236819986406712,0,0.0,0,-1.0
2016-08-08,0.0337169966424188,1,0.1208865995750997,0,0.0,0,0.0
2016-08-09,-0.0350821621169615,1,-0.1226081408668833,0,0.0,0,0.0
2016-08-10,-0.1198294847806879,1,-0.4225467986537931,0,0.0,0,0.0
2016-08-11,-0.1265948210789938,1,-0.4464907513948447,0,0.0,0,0.0
2016-08-12,0.0268900677845991,1,0.0967246577690301,0,0.0,0,0.0
2016-08-15,0.1029021365343079,1,0.3657474086924921,0,0.0,0,0.0
2016-08-16,0.1460369982796922,1,0.5184107864734182,0,0.0,0,0.0
2016-08-17,-0.281331071965059,1,-0.9941349948112792,0,0.0,0,0.0
2016-08-18,-0.3051568999504565,1,-1.0784596276372391,1,0.2680486686503593,1,1.0
2016-08-19,-0.0566970561872677,1,-0.1991078120291063,0,0.0,0,0.0
2016-08-22,0.0195522430139934,1,0.0707545475213697,0,0.0,0,0.0
2016-08-23,0.1291878535253355,1,0.4587781077806412,0,0.0,0,0.0
2016-08-24,0.088081050760948,1,0.3132924586825026,0,0.0,0,0.0
2016-08-25,0.0782219319032287,1,0.2783989566319458,0,0.0,0,0.0
2016-08-26,0.336858962903508,2,1.193769985402143,0,0.0,0,-1.0
2016-08-29,-0.0782261405620161,1,-0.2753037845716946,0,0.0,0,0.0
2016-08-30,0.4416265784528248,2,1.5645646842752332,0,0.0,0,-1.0
2016-08-31,0.0185142308146038,1,0.0670808033125204,0,0.0,0,0.0
2016-09-01,-0.0371082313000971,1,-0.1297788272351648,0,0.0,0,0.0
2016-09-02,-0.0977470353185142,1,-0.3443923502989711,0,0.0,0,0.0
2016-09-06,-0.0133196150812392,1,-0.0455858947031955,0,0.0,0,0.0
2016-09-07,0.2067161158962961,1,0.7331669878679451,0,0.0,0,0.0
2016-09-08,-0.0856705457975137,1,-0.3016511055745881,0,0.0,0,0.0
2016-09-09,0.6825701403754139,2,2.41731479240804,0,0.0,0,0.0
2016-09-12,-0.3633101816723425,1,-1.284276362813373,1,-0.0930605591344534,0,1.0
2016-09-13,-0.1047289429165905,1,-0.3691027945695079,0,0.0,0,0.0
2016-09-14,-0.1217094057651994,1,-0.429200235707813,0,0.0,0,0.0
2016-09-15,-0.2334630497586051,1,-0.8247199633950352,0,0.0,0,0.0
2016-09-16,-0.2041672116511834,1,-0.7210358104979708,0,0.0,0,0.0
2016-09-19,-0.0287779362152381,1,-0.1002961551201321,0,0.0,0,0.0
2016-09-20,0.0600363077933095,1,0.2140361954838454,0,0.0,0,0.0
2016-09-21,-0.3365704196681258,1,-1.1896387026136486,1,0.1902658553209605,1,1.0
2016-09-22,0.0038990809436649,1,0.0153547039165779,0,0.0,0,0.0
2016-09-23,0.2032524023205695,1,0.7209081746310474,0,0.0,0,0.0
2016-09-26,-0.0701135618864051,1,-0.2465916567702228,0,0.0,0,0.0
2016-09-27,-0.0576957969836709,1,-0.2026425664559671,0,0.0,0,0.0
2016-09-28,0.1509967123660598,1,0.5359642611946752,0,0.0,0,0.0
2016-09-29,-0.1323478807137798,1,-0.4668520434190509,0,0.0,0,0.0
2016-09-30,-0.0841909379169302,1,-0.2964144610670784,0,0.0,0,0.0
2016-10-03,0.006266426185471,1,0.023733238270554,0,0.0,0,0.0
2016-10-04,0.4641635843412288,2,1.6443279037402994,0,0.0,0,-1.0
2016-10-05,-0.2007257177112815,1,-0.708855637240913,0,0.0,0,0.0
2016-10-06,-0.1025014577042272,1,-0.3612192543721678,0,0.0,0,0.0
2016-10-07,0.2387658002836414,1,0.8465975838500525,0,0.0,0,0.0
2016-10-10,0.1374606734483608,1,0.4880573631698744,0,0.0,0,0.0
2016-10-11,0.2418175006886809,1,0.8573981955353001,0,0.0,0,0.0
2016-10-12,-0.0159802824753727,1,-0.0550025580493682,0,0.0,0,0.0
2016-10-13,-0.202449768617421,1,-0.7149574171967904,0,0.0,0,0.0
2016-10-14,0.0113842276714976,1,0.0418462176578746,0,0.0,0,0.0
2016-10-17,-0.187580464751459,1,-0.6623318131823847,0,0.0,0,0.0
2016-10-18,0.0823779562142796,1,0.2931080036484826,0,0.0,0,0.0
2016-10-19,0.3243041977591542,2,1.149336022323813,0,0.0,0,-1.0
2016-10-20,0.0895063790399098,1,0.3183369962261118,0,0.0,0,0.0
2016-10-21,0.2223208503430983,1,0.7883954358941663,0,0.0,0,0.0
2016-10-24,-0.11183672436983,1,-0.3942587329746259,0,0.0,0,0.0
2016-10-25,-0.150661038348507,1,-0.531666172622819,0,0.0,0,0.0
2016-10-26,-0.0939235104243841,1,-0.3308600888809818,0,0.0,0,0.0
2016-10-27,-0.1868453111772557,1,-0.6597299495555097,0,0.0,0,0.0
2016-10-28,-0.1066871486682224,1,-0.3760332979335568,0,0.0,0,0.0
2016-10-31,-0.2607039129255735,1,-0.9211311263491488,0,0.0,0,0.0
2016-11-01,0.236972187118657,1,0.8402496083815055,0,0.0,0,0.0
2016-11-02,-0.2946043857947509,1,-1.0411120533109248,1,0.0861371988891952,1,1.0
2016-11-03,0.0153996277141302,1,0.0560575657147758,0,0.0,0,0.0
2016-11-04,0.1724967984583549,1,0.6120576026966147,0,0.0,0,0.0
2016-11-07,-0.3505751191742252,1,-1.23920428935479,1,0.0475482767051021,1,1.0
2016-11-08,-0.3175896395409999,1,-1.1224617165315225,1,-0.1875767859455488,0,1.0
2016-11-09,0.7041671063605462,2,2.4937510122937536,0,0.0,0,0.0
2016-11-10,0.4020319745696104,2,1.4244310261128517,0,0.0,0,-1.0
2016-11-11,0.0098785709798798,1,0.0365173809114481,0,0.0,0,0.0
2016-11-14,0.4080699287623547,2,1.4458006200944409,0,0.0,0,-1.0
2016-11-15,-0.4847534400346465,1,-1.7140896803973775,1,1.159670951570819,1,1.0
2016-11-16,-0.0136695244206968,1,-0.0468242976913401,0,0.0,0,0.0
2016-11-17,0.1380689803577917,1,0.4902102896836851,0,0.0,0,0.0
2016-11-18,0.2008230663288146,1,0.71231024193208,0,0.0,0,0.0
2016-11-21,-0.2838048336344806,1,-1.0028901593579536,1,0.1908469837207359,1,1.0
2016-11-22,-0.1074104117371693,1,-0.378593078553265,0,0.0,0,0.0
2016-11-23,0.0807508933181045,1,0.287349484725707,0,0.0,0,0.0
2016-11-25,-0.3492167574144876,1,-1.234396760453595,1,-0.2188002590454617,0,1.0
2016-11-28,-0.4338224683338959,1,-1.5338342243952885,1,0.238850964790604,1,1.0
2016-11-29,0.0177254196180249,1,0.0642890340375433,0,0.0,0,0.0
2016-11-30,0.6749175115361725,2,2.390230524133381,0,0.0,0,0.0
2016-12-01,0.3403595472790816,2,1.206159292179958,0,0.0,0,-1.0
2016-12-02,-0.2142094569859358,1,-0.7565774357930166,0,0.0,0,0.0
2016-12-05,0.2211368726578492,1,0.7842050890300845,0,0.0,0,0.0
2016-12-06,0.0775753274779567,1,0.2761104871282575,0,0.0,0,0.0
2016-12-07,-0.1964149425927666,1,-0.6935988944621588,0,0.0,0,0.0
2016-12-08,0.4909595302806326,2,1.7391644107422537,0,0.0,0,0.0
2016-12-09,-0.2789455876204481,1,-0.9856922623448702,0,0.0,0,0.0
2016-12-12,-0.1949715035432919,1,-0.6884902590800765,0,0.0,0,0.0
2016-12-13,-0.0929134019365017,1,-0.3272851017952331,0,0.0,0,0.0
2016-12-14,0.2494278092368781,1,0.8843326833697758,0,0.0,0,0.0
2016-12-15,-0.2080634308720536,1,-0.734825352477821,0,0.0,0,0.0
2016-12-16,-0.106847957275601,1,-0.3766024335279531,0,0.0,0,0.0
2016-12-19,0.0074825314040696,1,0.0280372912545221,0,0.0,0,0.0
2016-12-20,0.1341129565852106,1,0.4762090867757264,0,0.0,0,0.0
2016-12-21,-0.1603950711348965,1,-0.5661169686720147,0,0.0,0,0.0
2016-12-22,-0.2267556530681314,1,-0.800981071152176,0,0.0,0,0.0
2016-12-23,0.0516999364392123,1,0.1845320181698007,0,0.0,0,0.0
2016-12-27,0.0253290789204554,1,0.0911999887881661,0,0.0,0,0.0
2016-12-28,0.1991567939751963,1,0.7064129524656646,0,0.0,0,0.0
2016-12-29,-0.2411111671300087,1,-0.851788264633033,0,0.0,0,0.0
2016-12-30,0.4664252685475317,2,1.6523324813936615,0,0.0,0,-1.0
2017-01-03,0.0594252788053543,1,0.2118736349597403,0,0.0,0,0.0
2017-01-04,0.3869204739275981,2,1.3709482366010692,0,0.0,0,-1.0
2017-01-05,0.1171280208479193,1,0.4160958151405319,0,0.0,0,0.0
2017-01-06,0.0065758631979138,1,0.0248284011531616,0,0.0,0,0.0
2017-01-09,0.0460255437011593,1,0.1644491448929569,0,0.0,0,0.0
2017-01-10,-0.1886577277932772,1,-0.6661444744050699,0,0.0,0,0.0
2017-01-11,-0.2742706426944177,1,-0.9691466457723544,0,0.0,0,0.0
2017-01-12,0.0173165683233631,1,0.0628420230323474,0,0.0,0,0.0
2017-01-13,-0.0221823545072744,1,-0.0769529996949134,0,0.0,0,0.0
2017-01-17,-0.1515658606356772,1,-0.5348685296273744,0,0.0,0,0.0
2017-01-18,-0.1109773262182393,1,-0.3912171415710191,0,0.0,0,0.0
2017-01-19,-0.0823015709550007,1,-0.2897275927057416,0,0.0,0,0.0
2017-01-20,-0.0491411919396236,1,-0.1723660140628032,0,0.0,0,0.0
2017-01-23,0.1435253886281267,1,0.5095216699314788,0,0.0,0,0.0
2017-01-24,-0.2995626255379074,1,-1.0586603100204506,1,-0.0325883491601092,0,1.0
2017-01-25,-0.2396772869888584,1,-0.8467134602445755,0,0.0,0,0.0
2017-01-26,0.1890864483562639,1,0.6707718743353499,0,0.0,0,0.0
2017-01-27,-0.3133053949794837,1,-1.1072988709923082,1,0.2953542875772711,1,1.0
2017-01-30,-0.079424189516467,1,-0.2795439326267178,0,0.0,0,0.0
2017-01-31,0.0256262657944285,1,0.0922517958457774,0,0.0,0,0.0
2017-02-01,-0.0311193399328025,1,-0.1085828769457897,0,0.0,0,0.0
2017-02-02,-0.0205977756799031,1,-0.0713448408563722,0,0.0,0,0.0
2017-02-03,0.1146907683920385,1,0.4074698644045375,0,0.0,0,0.0
2017-02-06,0.0301653681264972,1,0.1083166368135598,0,0.0,0,0.0
2017-02-07,-0.2541005023035993,1,-0.8977602627452358,0,0.0,0,0.0
2017-02-08,-0.2648121095861733,1,-0.9356709012184308,0,0.0,0,0.0
2017-02-09,0.4482094446516879,2,1.5878628368305934,0,0.0,0,-1.0
2017-02-10,-0.0179511074022125,1,-0.0619777233373015,0,0.0,0,0.0
2017-02-13,-0.079414630761439,1,-0.2795101021756417,0,0.0,0,0.0
2017-02-14,0.3110390766627131,2,1.1023879596359245,0,0.0,0,-1.0
2017-02-15,-0.0872649484846122,1,-0.3072940331256771,0,0.0,0,0.0
2017-02-16,-0.2897269739278788,1,-1.023849863511391,1,-0.0914528091906482,0,1.0
2017-02-17,0.0149537825096876,1,0.0544796254566291,0,0.0,0,0.0
2017-02-21,-0.1566380830187453,1,-0.5528201949514912,0,0.0,0,0.0
2017-02-22,-0.1092778970447041,1,-0.3852025031223612,0,0.0,0,0.0
2017-02-23,0.173927989253017,1,0.6171228889203607,0,0.0,0,0.0
2017-02-24,-0.2903748333466354,1,-1.0261427747018428,1,-0.0576357661583699,0,1.0
2017-02-27,0.1307585587803743,1,0.4643371651191785,0,0.0,0,0.0
2017-02-28,-0.3095690045928045,1,-1.0940749969827976,1,0.0736942546441676,1,1.0
2017-03-01,0.001431626774613,1,0.0066218629446834,0,0.0,0,0.0
2017-03-02,-0.2260325592098222,1,-0.7984218894046202,0,0.0,0,0.0
2017-03-03,0.0229912237542039,1,0.0829258260343991,0,0.0,0,0.0
2017-03-06,-0.0584959558653593,1,-0.2054744975830684,0,0.0,0,0.0
2017-03-07,-0.0367849692063965,1,-0.1286347344726986,0,0.0,0,0.0
2017-03-08,0.0733121029500569,1,0.2610220359235353,0,0.0,0,0.0
2017-03-09,0.0166259317482072,1,0.0603977144588155,0,0.0,0,0.0
2017-03-10,-0.4258331881292844,1,-1.5055584759003997,1,0.2887251805984875,1,1.0
2017-03-13,-0.086490927037701,1,-0.3045546078956198,0,0.0,0,0.0
2017-03-14,0.1374192263104038,1,0.4879106730027143,0,0.0,0,0.0
2017-03-15,-0.3415569482295179,1,-1.2072870794202497,1,0.5456899771184889,1,1.0
2017-03-16,0.2387925314136202,1,0.8466921909596926,0,0.0,0,0.0
2017-03-17,-0.3201453287353621,1,-1.1315068398768244,1,0.4673686088911165,1,1.0
2017-03-20,-0.0273664067123501,1,-0.0953004543567845,0,0.0,0,0.0
2017-03-21,-0.4000707030464242,1,-1.4143796049445652,1,0.2640274216300227,1,1.0
2017-03-22,-0.1836200901859355,1,-0.648315211900124,0,0.0,0,0.0
2017-03-23,0.195726852083515,1,0.6942736643449046,0,0.0,0,0.0
2017-03-24,-0.0274837472676171,1,-0.0957157473423863,0,0.0,0,0.0
2017-03-27,-0.1127759230982139,1,-0.3975827554585504,0,0.0,0,0.0
2017-03-28,0.018899848626659,1,0.0684455861201792,0,0.0,0,0.0
2017-03-29,0.204133028888971,1,0.7240248978812426,0,0.0,0,0.0
2017-03-30,0.1502585052868716,1,0.5333515905693261,0,0.0,0,0.0
2017-03-31,0.0689019119283821,1,0.2454134392853408,0,0.0,0,0.0
2017-04-03,0.0906844642288617,1,0.3225064883023979,0,0.0,0,0.0
2017-04-04,-0.115086549761312,1,-0.4057605507940595,0,0.0,0,0.0
2017-04-05,-0.0309858488926911,1,-0.1081104239863439,0,0.0,0,0.0
2017-04-06,0.1599445970813751,1,0.5676327133320119,0,0.0,0,0.0
2017-04-07,-0.0002926743522908,1,0.0005191974047209,0,0.0,0,0.0
2017-04-10,0.029368006785521,1,0.1054946067733596,0,0.0,0,0.0
2017-04-11,0.0520057939252126,1,0.1856145123529975,0,0.0,0,0.0
2017-04-12,0.1010121556226688,1,0.3590583674335813,0,0.0,0,0.0
2017-04-13,0.0341432186076615,1,0.1223950890489379,0,0.0,0,0.0
2017-04-17,0.0950650882921502,1,0.3380104412358181,0,0.0,0,0.0
2017-04-18,-0.0942272805401356,1,-0.3319351954204039,0,0.0,0,0.0
2017-04-19,0.0574322022385181,1,0.2048197164224498,0,0.0,0,0.0
2017-04-20,0.0244809303948965,1,0.0881982121849155,0,0.0,0,0.0
2017-04-21,-0.2052037110703172,1,-0.724704200658277,0,0.0,0,0.0
2017-04-24,-0.3845134494952308,1,-1.359319201827042,1,0.3783363700485374,1,1.0
2017-04-25,-0.000819528073351,1,-0.0013454490876747,0,0.0,0,0.0
2017-04-26,0.1920007804062808,1,0.6810863104255128,0,0.0,0,0.0
2017-04-27,-0.3053974307559626,1,-1.0793109169133168,1,0.0748998894732273,1,1.0
2017-04-28,0.1560292125607033,1,0.5537753413120156,0,0.0,0,0.0
2017-05-01,0.3135614507211156,2,1.1113151736851012,0,0.0,0,-1.0
2017-05-02,-0.0123791425307924,1,-0.0422573638941958,0,0.0,0,0.0
2017-05-03,-0.1053868104210749,1,-0.3714311264871973,0,0.0,0,0.0
2017-05-04,-0.234492385671965,1,-0.828363000396807,0,0.0,0,0.0
2017-05-05,-0.0573633668862653,1,-0.2014660261938109,0,0.0,0,0.0
2017-05-08,-0.0061770794466934,1,-0.0203069539168121,0,0.0,0,0.0
2017-05-09,-0.0697368820225899,1,-0.2452585072474185,0,0.0,0,0.0
2017-05-10,0.0432871586514303,1,0.1547574223641104,0,0.0,0,0.0
2017-05-11,-0.199095838474177,1,-0.703087150693301,0,0.0,0,0.0
2017-05-12,-0.0631875886813046,1,-0.2220791761193727,0,0.0,0,0.0
2017-05-15,-0.0354560987366896,1,-0.1239315814700003,0,0.0,0,0.0
2017-05-16,-0.0489655657786941,1,-0.1717444360196774,0,0.0,0,0.0
2017-05-17,0.0186203097082191,1,0.0674562389011672,0,0.0,0,0.0
2017-05-18,0.0196165410102295,1,0.0709821116978332,0,0.0,0,0.0
2017-05-19,-0.1722793053763895,1,-0.6081777813936459,0,0.0,0,0.0
2017-05-22,-0.2066237087129857,1,-0.7297298719552049,0,0.0,0,0.0
2017-05-23,0.0969230620771454,1,0.3445862025195816,0,0.0,0,0.0
2017-05-24,-0.1632456600955322,1,-0.5762058045181674,0,0.0,0,0.0
2017-05-25,-0.1735202289796507,1,-0.612569671877964,0,0.0,0,0.0
2017-05-26,-0.1269230666184091,1,-0.4476524816232724,0,0.0,0,0.0
2017-05-30,-0.3356548137329473,1,-1.18639818000329,1,0.4256095244887095,1,1.0
2017-05-31,-0.2131638251435517,1,-0.7528767240597577,0,0.0,0,0.0
2017-06-01,-0.0295920237857357,1,-0.1031773828160788,0,0.0,0,0.0
2017-06-02,-0.0830818520156137,1,-0.2924891720295565,0,0.0,0,0.0
2017-06-05,0.219266627820511,1,0.7775858979027145,0,0.0,0,0.0
2017-06-06,-0.0536955634748333,1,-0.188484895962519,0,0.0,0,0.0
2017-06-07,0.1112050370594869,1,0.3951331256801789,0,0.0,0,0.0
2017-06-08,0.2063441537190944,1,0.7318505352335644,0,0.0,0,0.0
2017-06-09,0.4795030086234576,2,1.6986173631099095,0,0.0,0,0.0
2017-06-12,0.1871356160120806,1,0.6638674670161547,0,0.0,0,0.0
2017-06-13,-0.0259081605004168,1,-0.0901394133022414,0,0.0,0,0.0
2017-06-14,0.1472868209779849,1,0.5228341727328875,0,0.0,0,0.0
2017-06-15,-0.1735217344664859,1,-0.6125750001135526,0,0.0,0,0.0
2017-06-16,-0.1231334027410971,1,-0.4342400614889545,0,0.0,0,0.0
2017-06-19,-0.0776110963800317,1,-0.2731270134286575,0,0.0,0,0.0
2017-06-20,0.0600343232251083,1,0.2140291716782096,0,0.0,0,0.0
2017-06-21,0.0827932272821469,1,0.2945777355857154,0,0.0,0,0.0
2017-06-22,0.0701291847297766,1,0.249757016701341,0,0.0,0,0.0
2017-06-23,-0.0179922923927662,1,-0.062123485709485,0,0.0,0,0.0
2017-06-26,0.1068529123226427,1,0.3797300378768046,0,0.0,0,0.0
2017-06-27,0.5898415732010089,2,2.089128826142715,0,0.0,0,0.0
2017-06-28,0.1704982350123943,1,0.6049842649362942,0,0.0,0,0.0
2017-06-29,0.5784291011730651,2,2.0487376794433128,0,0.0,0,0.0
2017-06-30,-0.1099339555893033,1,-0.387524432749301,0,0.0,0,0.0
2017-07-03,0.4063982432693295,2,1.439884172385416,0,0.0,0,-1.0
2017-07-05,-0.1884762995425792,1,-0.6655023615419309,0,0.0,0,0.0
2017-07-06,-0.2444691937185724,1,-0.8636730293209169,0,0.0,0,0.0
2017-07-07,-0.1675510179753735,1,-0.5914433745461419,0,0.0,0,0.0
2017-07-10,-0.1833643205094289,1,-0.6474099890439594,0,0.0,0,0.0
2017-07-11,-0.0556470689768106,1,-0.1953916857291929,0,0.0,0,0.0
2017-07-12,-0.0263965378325082,1,-0.0918678837350158,0,0.0,0,0.0
2017-07-13,0.3060599506052517,2,1.0847657818527665,0,0.0,0,-1.0
2017-07-14,-0.2374591977467799,1,-0.8388631743687553,0,0.0,0,0.0
2017-07-17,-0.0059700242395289,1,-0.0195741418470892,0,0.0,0,0.0
2017-07-18,-0.0383015788511931,1,-0.1340023360316523,0,0.0,0,0.0
2017-07-19,-0.0031397163499069,1,-0.009557084990846,0,0.0,0,0.0
2017-07-20,-0.1139724291992331,1,-0.4018174430297149,0,0.0,0,0.0
2017-07-21,-0.0321787969449667,1,-0.1123325188722065,0,0.0,0,0.0
2017-07-24,0.345775795254052,2,1.2253285366680675,0,0.0,0,-1.0
2017-07-25,0.1981150264031693,1,0.702725917200615,0,0.0,0,0.0
2017-07-26,0.0844593521873806,1,0.3004745032011843,0,0.0,0,0.0
2017-07-27,0.0288939205613232,1,0.1038167155870459,0,0.0,0,0.0
2017-07-28,0.2293469085610859,1,0.8132621385249728,0,0.0,0,0.0
2017-07-31,0.1505067556775962,1,0.5342302010864329,0,0.0,0,0.0
2017-08-01,0.0906262921161596,1,0.3223006049204093,0,0.0,0,0.0
2017-08-02,-0.201002255844417,1,-0.7098343640475248,0,0.0,0,0.0
2017-08-03,-0.2682845840004162,1,-0.947960720911498,0,0.0,0,0.0
2017-08-04,0.1227671968298679,1,0.43605404888629,0,0.0,0,0.0
2017-08-07,-0.2894719998951029,1,-1.0229474566062815,1,0.4501280777978248,1,1.0
2017-08-08,0.0396668738693094,1,0.141944470589051,0,0.0,0,0.0
2017-08-09,0.1374449379200433,1,0.4880016718147405,0,0.0,0,0.0
2017-08-10,-0.0689916185826111,1,-0.24262086267224,0,0.0,0,0.0
2017-08-11,-0.167150576268629,1,-0.5900261268471271,0,0.0,0,0.0
2017-08-14,0.0285279706792401,1,0.1025215417337691,0,0.0,0,0.0
2017-08-15,-0.1475602583328992,1,-0.5206918578392798,0,0.0,0,0.0
2017-08-16,-0.1419284386971952,1,-0.5007596597551741,0,0.0,0,0.0
2017-08-17,0.2295276512203677,1,0.8139018249354206,0,0.0,0,0.0
2017-08-18,-0.1257772945339811,1,-0.4435973524424171,0,0.0,0,0.0
2017-08-21,0.1129719204797629,1,0.4013864989418494,0,0.0,0,0.0
2017-08-22,-0.1300200887793656,1,-0.4586134965662402,0,0.0,0,0.0
2017-08-23,0.1991889287648225,1,0.7065266842670453,0,0.0,0,0.0
2017-08-24,0.1717475213063728,1,0.6094057527477064,0,0.0,0,0.0
2017-08-25,-0.0168262510593528,1,-0.0579966193793726,0,0.0,0,0.0
2017-08-28,-0.1821744112928012,1,-0.643198649238692,0,0.0,0,0.0
2017-08-29,-0.2196651773853321,1,-0.7758863815204077,0,0.0,0,0.0
2017-08-30,0.0037683346613396,1,0.0148919652341194,0,0.0,0,0.0
2017-08-31,-0.0126946311592834,1,-0.0433739447229744,0,0.0,0,0.0
2017-09-01,0.1342914822472884,1,0.4768409267652516,0,0.0,0,0.0
2017-09-05,-0.0920723042603409,1,-0.3243082796358313,0,0.0,0,0.0
2017-09-06,0.1931554949668666,1,0.6851730889164793,0,0.0,0,0.0
2017-09-07,-0.3769847192749264,1,-1.3326734369091564,1,0.430960716912302,1,1.0
2017-09-08,-0.1701055397571353,1,-0.6004843661719107,0,0.0,0,0.0
2017-09-11,-0.2580342797256561,1,-0.9116827311243956,0,0.0,0,0.0
2017-09-12,0.2854482297275558,2,1.0118165523028797,0,0.0,0,-1.0
2017-09-13,0.0492740238405758,1,0.1759462015814633,0,0.0,0,0.0
2017-09-14,-0.1192358187900345,1,-0.4204456894409761,0,0.0,0,0.0
2017-09-15,-0.1139817578043331,1,-0.4018504589316309,0,0.0,0,0.0
2017-09-18,0.0646641485918741,1,0.2304151006096244,0,0.0,0,0.0
2017-09-19,0.0040901547826667,1,0.0160309545520791,0,0.0,0,0.0
2017-09-20,0.2927946245554229,2,1.0378169937915906,0,0.0,0,-1.0
2017-09-21,0.0539759976373756,1,0.1925874790311046,0,0.0,0,0.0
2017-09-22,-0.0073869487008252,1,-0.024588936506656,0,0.0,0,0.0
2017-09-25,0.0053548187177785,1,0.0205068670803616,0,0.0,0,0.0
2017-09-26,-0.0435523428016897,1,-0.1525858976376868,0,0.0,0,0.0
2017-09-27,0.1683404401785173,1,0.5973473736940693,0,0.0,0,0.0
