Date,spread,regime,z_score,signal,minhash_signal,final_signal,lr_signal
2016-07-06,-0.0719879812854756,1,-0.2574572940355038,0,0.0,0,0.0
2016-07-07,-0.2007843425601198,1,-0.7393187539192639,0,0.0,0,0.0
2016-07-08,-0.2004954726262404,1,-0.7382380146291311,0,0.0,0,0.0
2016-07-11,-0.1933792138203017,1,-0.7116141968193389,0,0.0,0,0.0
2016-07-12,-0.1834622691773817,1,-0.674512268038649,0,0.0,0,0.0
2016-07-13,0.0132058393076257,1,0.0612754586431907,0,0.0,0,0.0
2016-07-14,0.0639860989031525,1,0.2512579222766101,0,0.0,0,0.0
2016-07-15,0.0250307417060466,1,0.1055155650894884,0,0.0,0,0.0
2016-07-18,-0.2732546360526283,1,-1.010449406019289,1,0.0,0,1.0
2016-07-19,0.1165022668242916,1,0.447734880876547,0,0.0,0,0.0
2016-07-20,-0.007071057523305,1,-0.0145858080274556,0,0.0,0,0.0
2016-07-21,-0.0332073404940327,1,-0.1123685974135192,0,0.0,0,0.0
2016-07-22,0.0001099210578679,1,0.0122801436832409,0,0.0,0,0.0
2016-07-25,-0.1986147243244503,1,-0.7312016347702157,0,0.0,0,0.0
2016-07-26,-0.0617108252314596,1,-0.2190077185146441,0,0.0,0,0.0
2016-07-27,0.1436404258822491,1,0.549265955301392,0,0.0,0,0.0
2016-07-28,-0.0103648662129121,1,-0.026908822808653,0,0.0,0,0.0
2016-07-29,-0.1215891931543397,1,-0.4430286263821409,0,0.0,0,0.0
2016-08-01,0.0468124882986043,1,0.1870068751547382,0,0.0,0,0.0
2016-08-02,0.4134537153339657,0,1.5587092677099303,0,0.0,0,0.0
2016-08-03,-0.0659732061659471,1,-0.2349544197983331,0,0.0,0,0.0
2016-08-04,0.0182693060320721,1,0.080219235033828,0,0.0,0,0.0
2016-08-05,-0.1824835517204211,1,-0.6708506255981526,0,0.0,0,0.0
2016-08-08,-0.051569217388455,1,-0.1810652649201817,0,0.0,0,0.0
2016-08-09,0.0339492425836457,1,0.13888205006099,0,0.0,0,0.0
2016-08-10,-0.0031084398646454,1,0.0002393990751831,0,0.0,0,0.0
2016-08-11,0.0040678886657147,1,0.0270879537084234,0,0.0,0,0.0
2016-08-12,-0.0855238359145464,1,-0.3080985280563167,0,0.0,0,0.0
2016-08-15,-0.1097091164249227,1,-0.3985820980818501,0,0.0,0,0.0
2016-08-16,-0.0263322307869166,1,-0.0866469825515305,0,0.0,0,0.0
2016-08-17,0.1503108415226754,1,0.5742217551913695,0,0.0,0,0.0
2016-08-18,0.0457462711219102,1,0.1830178729792855,0,0.0,0,0.0
2016-08-19,-0.0471210157562643,1,-0.1644233589600116,0,0.0,0,0.0
2016-08-22,-0.0104768253369193,1,-0.0273276916835772,0,0.0,0,0.0
