Date,spread,regime,z_score,signal,minhash_signal,final_signal,lr_signal
2016-07-06,0.0439766862432648,0,0.135465441323737,0,0.0,0,0.0
2016-07-07,0.4315563868991731,1,1.3291826573752512,0,0.0,0,0.0
2016-07-08,-0.0300580140192743,0,-0.0925560369400764,0,0.0,0,0.0
2016-07-11,0.0935196882099157,0,0.2880542747491743,0,0.0,0,0.0
2016-07-12,0.3094062434692695,0,0.9529691226914788,0,0.0,0,0.0
2016-07-13,-0.1530151589814723,0,-0.4712550774974783,0,0.0,0,0.0
2016-07-14,0.2946235247687859,0,0.9074394270367512,0,0.0,0,0.0
2016-07-15,0.0735144760506025,0,0.2264396800608514,0,0.0,0,0.0
2016-07-18,0.0272588050636265,0,0.0839755863435478,0,0.0,0,0.0
2016-07-19,-0.1900146051860112,0,-0.585210673840593,0,0.0,0,0.0
2016-07-20,0.2756594867387154,0,0.8490315727450002,0,0.0,0,0.0
2016-07-21,-0.184701615750707,0,-0.5688470537983428,0,0.0,0,0.0
2016-07-22,-0.2001380521617526,0,-0.6163901523330846,0,0.0,0,0.0
2016-07-25,0.1272781343969709,0,0.3920278273692915,0,0.0,0,0.0
2016-07-26,0.4131904416813009,1,1.2726168853326725,0,0.0,0,0.0
2016-07-27,0.2773094879709452,0,0.8541134562236387,0,0.0,0,0.0
2016-07-28,-0.1613088181007354,0,-0.4967989428185272,0,0.0,0,0.0
2016-07-29,-0.4359598605844189,1,-1.3427041263573776,0,0.0,0,1.0
2016-08-01,-0.0083142995439622,0,-0.025586981888527,0,0.0,0,0.0
2016-08-02,0.1630873567376538,0,0.5023176210018004,0,0.0,0,0.0
2016-08-03,0.2183368288307301,0,0.6724819663058778,0,0.0,0,0.0
2016-08-04,0.1731750073228078,0,0.5333868492215238,0,0.0,0,0.0
2016-08-05,0.3672618236822345,0,1.131160090969716,-1,0.0,0,-1.0
2016-08-08,-0.0497518172811465,0,-0.153211514931942,0,0.0,0,0.0
2016-08-09,-0.0260230119782431,0,-0.0801285248824775,0,0.0,0,0.0
2016-08-10,-0.0847399314365874,0,-0.2609723552283877,0,0.0,0,0.0
2016-08-11,0.1932060799136245,0,0.5950810921531575,0,0.0,0,0.0
2016-08-12,-0.0803739751196269,0,-0.2475255281338191,0,0.0,0,0.0
2016-08-15,0.3781140322280263,0,1.1645841019573142,-1,0.0,0,-1.0
2016-08-16,0.2675771371224189,0,0.8241385252845864,0,0.0,0,0.0
2016-08-17,-0.1390166212650207,0,-0.428140602091786,0,0.0,0,0.0
2016-08-18,0.0307481383702568,0,0.0947224784888734,0,0.0,0,0.0
2016-08-19,0.3657401042873984,0,1.126473306196052,-1,0.0,0,-1.0
2016-08-22,-0.132629951854293,0,-0.4084701260170247,0,0.0,0,0.0
2016-08-23,0.040535772829563,0,0.1248676789178956,0,0.0,0,0.0
2016-08-24,-0.02188654497343,0,-0.0673885081351653,0,0.0,0,0.0
2016-08-25,-0.0382464837303069,0,-0.117775926554094,0,0.0,0,0.0
2016-08-26,0.4131473274528385,1,1.2724840966528597,0,0.0,0,0.0
2016-08-29,-0.2103687941460992,0,-0.6479000916282228,0,0.0,0,0.0
2016-08-30,0.0874507940069787,0,0.2693625231425213,0,0.0,0,0.0
2016-08-31,-0.1084595936230032,0,-0.3340271851457784,0,0.0,0,0.0
2016-09-01,0.132154419162611,0,0.4070464288730944,0,0.0,0,0.0
2016-09-02,-0.2220001128306588,0,-0.6837237050312042,0,0.0,0,0.0
2016-09-06,-0.2636138741164516,0,-0.8118910553528096,0,0.0,0,0.0
2016-09-07,-0.152604149735972,0,-0.4699891989917677,0,0.0,0,0.0
2016-09-08,0.1746111060282339,0,0.5378099285151898,0,0.0,0,0.0
2016-09-09,0.7040836301281832,1,2.1685466940752693,0,0.0,0,0.0
2016-09-12,-0.0864211298137186,0,-0.2661503236384542,0,0.0,0,0.0
2016-09-13,0.4530058773675798,1,1.395245523940086,0,0.0,0,0.0
2016-09-14,-0.088782686558023,0,-0.2734237462082843,0,0.0,0,0.0
2016-09-15,0.1684539427594226,0,0.518846314622146,0,0.0,0,0.0
2016-09-16,-0.0814362688964009,0,-0.2507973155047613,0,0.0,0,0.0
2016-09-19,-0.3412211849808849,0,-1.0509159137588546,1,0.0,0,1.0
2016-09-20,0.0407797039041614,0,0.1256189688404209,0,0.0,0,0.0
2016-09-21,-0.1992836343173003,0,-0.6137586076755642,0,0.0,0,0.0
2016-09-22,-0.285963593572609,0,-0.8807265615560159,0,0.0,0,0.0
2016-09-23,-0.2297505508461581,0,-0.7075944889638625,0,0.0,0,0.0
2016-09-26,-0.2023309418889426,0,-0.6231440927892518,0,0.0,0,0.0
2016-09-27,0.4893268227080097,1,1.5071113870974275,0,0.0,0,0.0
2016-09-28,-0.123518014891251,0,-0.3804060246052327,0,0.0,0,0.0
2016-09-29,0.3319684683308641,0,1.0224591300477257,-1,0.0,0,-1.0
2016-09-30,0.3861393550073484,0,1.1893015109181932,-1,0.0,0,0.0
2016-10-03,0.4394512216767948,1,1.3534981728059627,0,0.0,0,0.0
2016-10-04,0.4644411222482718,1,1.4304652443246837,0,0.0,0,0.0
2016-10-05,0.5481232608264748,1,1.6882001291180797,0,0.0,0,0.0
2016-10-06,0.0062144162646377,0,0.0191604033808652,0,0.0,0,0.0
2016-10-07,0.0787227998002525,0,0.2424809374234162,0,0.0,0,0.0
2016-10-10,-0.1805653871690888,0,-0.5561077713770853,0,0.0,0,0.0
2016-10-11,-0.0401190931132201,0,-0.1235434269044482,0,0.0,0,0.0
2016-10-12,-0.3805326459995271,0,-1.1719923471393336,1,0.0,0,1.0
2016-10-13,-0.2910871464349676,0,-0.8965067307671409,0,0.0,0,0.0
2016-10-14,0.2351921955898382,0,0.724395266845507,0,0.0,0,0.0
2016-10-17,-0.1157490368652859,0,-0.3564781387922606,0,0.0,0,0.0
2016-10-18,-0.0164374165839034,0,-0.0506055900410421,0,0.0,0,0.0
2016-10-19,-0.0569362870296112,0,-0.175339157872039,0,0.0,0,0.0
2016-10-20,0.009435716206022,0,0.0290817723059885,0,0.0,0,0.0
2016-10-21,0.0408300715417977,0,0.125774097491577,0,0.0,0,0.0
2016-10-24,0.084652312498148,0,0.2607434041581173,0,0.0,0,0.0
2016-10-25,0.1134311437445512,0,0.3493801058701399,0,0.0,0,0.0
2016-10-26,0.0840472820059615,0,0.2588799543604706,0,0.0,0,0.0
2016-10-27,0.5739965883137089,1,1.7678880911186234,0,0.0,0,0.0
2016-10-28,-0.2646522656166586,0,-0.8150892254548584,0,0.0,0,0.0
2016-10-31,-0.5066573345581915,1,-1.560447190999377,0,0.0,0,0.0
2016-11-01,0.3642023454775436,0,1.1217371211937104,-1,0.0,0,-1.0
2016-11-02,0.2847651495799158,0,0.8770763503190232,0,0.0,0,0.0
2016-11-03,-0.0582964342520189,0,-0.1795283121363233,0,0.0,0,0.0
2016-11-04,-0.2425023278514396,0,-0.7468690322918383,0,0.0,0,0.0
2016-11-07,0.0407823442097703,0,0.1256271007891674,0,0.0,0,0.0
2016-11-08,-0.0819650827736035,0,-0.2524260236859054,0,0.0,0,0.0
2016-11-09,0.8584628120212523,1,2.644023317112636,0,0.0,0,0.0
2016-11-10,0.4546349341877936,1,1.4002629001569635,0,0.0,0,0.0
2016-11-11,0.200279399568538,0,0.6168664009100833,0,0.0,0,0.0
2016-11-14,-0.4398919446501409,1,-1.354814658555712,0,0.0,0,1.0
2016-11-15,0.2534878679183837,0,0.7807446035131962,0,0.0,0,0.0
2016-11-16,0.1433916593144795,0,0.4416563091312447,0,0.0,0,0.0
2016-11-17,0.2911557438212611,0,0.8967589145858916,0,0.0,0,0.0
2016-11-18,-0.0155077448111111,0,-0.0477422687716844,0,0.0,0,0.0
2016-11-21,0.1014875984757119,0,0.3125948573548632,0,0.0,0,0.0
2016-11-22,-0.300774792946852,0,-0.9263439756091372,0,0.0,0,0.0
2016-11-23,0.3204451550403742,0,0.9869681653828212,0,0.0,0,0.0
2016-11-25,-0.1953634986745119,0,-0.601684875748597,0,0.0,0,0.0
2016-11-28,-0.2716229409540004,0,-0.8365583971983959,0,0.0,0,0.0
2016-11-29,-0.1877174397769034,0,-0.5781355718878092,0,0.0,0,0.0
2016-11-30,0.4010417131299781,1,1.2351996872691302,0,0.0,0,0.0
2016-12-01,-0.1104207467377713,0,-0.340067393733715,0,0.0,0,0.0
2016-12-02,-0.1915668006781826,0,-0.5899913227717598,0,0.0,0,0.0
2016-12-05,-0.0342245444455487,0,-0.1053886468332913,0,0.0,0,0.0
2016-12-06,0.0380511546707659,0,0.1172152361649573,0,0.0,0,0.0
2016-12-07,-0.2694796183790015,0,-0.8299571199565839,0,0.0,0,0.0
2016-12-08,-0.3115854949416916,0,-0.9596401494464232,0,0.0,0,0.0
2016-12-09,0.0338450573451632,0,0.1042607631069949,0,0.0,0,0.0
2016-12-12,-0.3114468888098342,0,-0.9592132526673388,0,0.0,0,0.0
2016-12-13,0.0041959345638981,0,0.0129436269284859,0,0.0,0,0.0
2016-12-14,0.4853436755349009,1,1.4948435842518184,0,0.0,0,0.0
2016-12-15,0.1712598203525656,0,0.5274882130069162,0,0.0,0,0.0
2016-12-16,-0.4884844480684643,1,-1.5044760257618135,0,0.0,0,0.0
2016-12-19,-0.1800810580460479,0,-0.5546160729949703,0,0.0,0,0.0
2016-12-20,7.873625694151953e-05,0,0.0002629563655154,0,0.0,0,0.0
2016-12-21,0.2286815892785799,0,0.7043430741544804,0,0.0,0,0.0
2016-12-22,0.0056280396063489,0,0.0173544060314023,0,0.0,0,0.0
2016-12-23,0.0066804733790242,0,0.0205958253087032,0,0.0,0,0.0
2016-12-27,-0.0105998641093601,0,-0.0326263540886077,0,0.0,0,0.0
2016-12-28,0.0270806662702328,0,0.0834269318496185,0,0.0,0,0.0
2016-12-29,-0.3166156915174524,0,-0.9751327881022848,0,0.0,0,0.0
2016-12-30,-0.3446294301633881,0,-1.0614130603947427,1,-0.1193616541259153,0,1.0
2017-01-03,0.1162126083866451,0,0.3579468141458495,0,0.0,0,0.0
2017-01-04,-0.3017932372356557,0,-0.9294807097545964,0,0.0,0,0.0
2017-01-05,-0.1511751877554608,0,-0.4655881002904359,0,0.0,0,0.0
2017-01-06,0.1746394676168581,0,0.5378972801400504,0,0.0,0,0.0
2017-01-09,0.3677667602852582,0,1.132715258887499,-1,0.0,0,-1.0
2017-01-10,0.3161526500053274,0,0.9737475628805444,0,0.0,0,0.0
2017-01-11,0.0651444498213801,0,0.2006606096097499,0,0.0,0,0.0
2017-01-12,-0.1948906027898502,0,-0.6002283909069881,0,0.0,0,0.0
2017-01-13,0.1939581725559191,0,0.597397482649495,0,0.0,0,0.0
2017-01-17,-0.5001493151339075,1,-1.5404029657315976,0,0.0,0,0.0
2017-01-18,0.1519735914363174,0,0.4680880342796119,0,0.0,0,0.0
2017-01-19,0.2607702945232544,0,0.8031739464280965,0,0.0,0,0.0
